,title,artist,released_year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,decease_date
57,Pride (In The Name Of Love),U2,1984,58,47,130,126,182,125,140,137,171,135,217,250,253,239,283,347,294,362,419,258,231,99999
58,Space Oddity,David Bowie,1969,59,75,144,104,135,78,191,205,278,156,156,185,202,205,161,130,139,38,76,81,92,99999
59,Light My Fire,Doors,1967,60,99,129,113,96,126,157,166,218,143,201,222,203,196,229,289,357,377,404,529,99999,99999
60,Sebastian,Cockney Rebel,1973,61,84,49,76,90,92,116,146,151,120,191,172,170,244,334,377,414,495,566,784,768,99999
61,Dreadlock Holiday,﻿10cc,1978,62,61,43,45,41,52,59,61,37,47,113,303,91,214,298,192,285,261,223,528,99999,99999
62,Halo Of Flies,Alice Cooper,1973,63,24,19,21,35,39,57,78,56,51,91,85,109,167,191,209,253,288,268,452,535,99999
63,Go Your Own Way,Fleetwood Mac,1977,64,67,73,71,69,79,77,94,102,85,63,67,71,81,41,30,40,43,33,42,43,99999
64,Stil In Mij,Van Dik Hout,1994,65,70,85,49,38,35,53,50,58,48,59,51,52,92,95,91,86,93,95,130,105,99999
65,Ne Me Quitte Pas,Jacques Brel,1965,66,195,134,133,101,113,86,82,88,90,94,72,118,130,93,150,156,174,217,278,99999,99999
66,Wuthering Heights,Kate Bush,1978,67,77,96,95,116,93,99,119,111,102,101,102,132,144,164,117,128,118,120,126,140,99999
67,Paranoid,Black Sabbath,1970,68,99999,79,52,42,58,96,124,105,80,112,114,103,88,71,104,123,113,111,133,135,99999
68,Mr. Blue Sky,Electric Light Orchestra,1978,69,59,42,68,80,90,73,84,112,81,85,88,92,115,85,90,58,79,55,51,62,99999
69,Heroes,David Bowie,1977,70,62,77,63,71,99,137,125,130,112,123,112,145,119,79,34,60,7,11,17,99999,99999
70,Year Of The Cat,Al Stewart,1977,71,60,36,55,63,77,83,127,78,79,198,169,241,358,380,414,448,440,415,600,656,99999
71,In The Air Tonight,Phil Collins,1981,72,127,81,81,56,75,106,102,143,95,109,113,115,102,106,97,87,54,48,41,48,99999
72,De Vlieger,André Hazes,1977,73,99999,60,82,78,51,69,87,67,70,196,159,234,220,333,406,395,405,379,344,298,99999
73,Last Christmas,Wham,1984,74,139,263,292,447,286,467,358,437,359,416,443,631,930,743,628,547,530,366,484,99999,99999
74,I Still Haven't Found What I'm Looking For,U2,1987,75,99999,97,88,118,111,92,72,73,84,102,107,102,121,116,124,132,142,123,128,121,99999
75,The Day Before You Came,ABBA,1982,76,73,65,65,55,91,65,104,44,57,78,91,139,191,183,133,215,275,273,315,317,99999
76,Hey Joe,Jimi Hendrix Experience,1967,77,105,182,163,167,151,174,196,220,170,179,204,161,203,215,343,360,428,437,366,99999,99999
77,We Are The Champions,Queen,1977,78,128,319,223,267,247,222,271,655,301,424,470,412,601,555,672,579,543,583,216,251,99999
78,Money,Pink Floyd,1973,79,197,219,293,230,326,245,214,347,248,291,290,264,211,271,323,398,416,402,362,382,99999
79,Pastorale,Ramses Shaffy & Liesbeth List,1969,80,119,58,40,51,43,33,24,51,40,6,21,27,46,42,47,71,69,86,106,73,99999
80,Thriller,Michael Jackson,1983,81,187,162,239,340,309,408,246,506,324,52,126,144,181,176,212,205,176,147,113,191,2009
81,Somebody To Love,Queen,1976,82,65,88,74,104,119,126,129,150,122,134,116,104,87,91,81,65,58,66,33,42,99999
82,A Day In The Life,Beatles,1967,83,66,87,98,122,127,107,76,49,75,71,75,78,82,126,148,167,241,165,247,99999,99999
83,With A Little Help From My Friends,Joe Cocker,1968,84,287,148,169,238,159,180,179,335,193,233,225,201,338,311,364,220,299,286,348,297,99999
84,I Want To Break Free,Queen,1984,85,123,177,108,121,108,129,121,172,130,183,195,126,231,235,219,219,224,265,118,145,99999
85,Total Eclipse Of The Heart,Bonnie Tyler,1983,86,133,142,124,215,208,264,352,316,245,486,478,503,629,579,645,664,647,619,480,481,99999
86,Nikita,Elton John,1985,87,143,181,368,396,289,410,346,359,335,669,506,737,1046,917,837,973,996,786,860,776,99999
87,Roxanne,Police,1979,88,186,217,221,309,232,391,363,341,303,249,207,210,219,201,287,299,233,228,187,99999,99999
88,Careless Whisper,George Michael,1984,89,275,288,226,517,469,625,425,580,469,545,691,691,546,721,648,710,614,232,204,236,2015
89,Nothing Compares 2u,Sinead O'Connor,1990,90,115,200,216,126,172,247,224,343,203,254,269,300,348,364,327,394,361,323,282,289,99999
90,Wonderful Tonight,Eric Clapton,1988,91,214,116,156,180,150,124,153,191,146,251,239,274,349,321,325,361,392,383,455,99999,99999
91,Woman In Love,Barbra Streisand,1980,92,157,176,196,193,219,173,229,156,176,246,242,453,755,661,536,672,630,542,842,1115,99999
92,Mama,Genesis,1983,93,107,93,102,113,143,148,177,232,150,163,188,211,227,231,215,233,225,175,342,334,99999
93,Blowin' In The Wind,Bob Dylan,1963,94,147,179,195,211,194,205,188,168,173,210,199,262,317,331,488,412,417,549,605,653,99999
94,Dust In The Wind,Kansas,1978,95,183,338,161,127,227,210,221,254,197,311,375,330,250,219,224,213,235,214,263,275,99999
95,Eternal Flame,Bangles,1989,96,138,104,199,244,205,334,440,383,295,431,427,546,835,814,666,774,662,775,1120,99999,99999
96,Strawberry Fields Forever,Beatles,1967,97,131,180,214,207,259,261,187,183,189,204,247,271,308,301,395,322,387,505,587,99999,99999
97,Against All Odds (Take A Look At Me Now),Phil Collins,1984,98,152,132,153,159,170,238,230,395,215,274,308,394,240,307,370,393,352,282,320,269,99999
98,Every Breath You Take,Police,1983,99,166,167,184,259,284,434,403,412,340,381,351,345,356,210,330,386,318,290,286,99999,99999
99,Eloise,Barry Ryan,1968,100,97,83,117,108,141,127,145,70,110,258,261,365,410,553,566,707,805,851,1134,1124,99999
100,Waterloo,ABBA,1974,101,182,467,607,605,512,299,546,419,452,701,728,918,783,836,890,772,742,660,413,438,99999
101,Verdronken Vlinder,Boudewijn De Groot,1966,102,95,95,72,47,65,51,62,63,55,105,109,153,238,232,251,298,300,360,398,99999,99999
102,Jeanny,Falco,1985,103,58,67,70,94,101,143,141,207,133,188,182,169,165,193,132,153,107,102,131,99999,99999
103,If You Leave Me Now,Chicago,1976,104,103,103,119,218,165,214,250,222,194,288,252,383,634,677,627,716,550,597,806,858,99999
104,32 Jaar (Sinds 1 Dag Of 2),Doe Maar,1981,105,203,367,366,338,363,424,449,450,395,509,566,439,172,531,678,584,605,626,461,99999,99999
105,"Non, Je Ne Regrette Rien",Edith Piaf,1961,106,234,403,507,312,313,309,236,158,224,277,328,263,413,363,427,460,622,582,577,99999,99999
106,All Along The Watchtower,Jimi Hendrix Experience,1968,107,130,242,146,146,136,162,158,147,142,120,138,131,123,97,156,160,179,179,137,99999,99999
107,Stayin' Alive,Bee Gees,1978,108,153,101,255,284,277,409,434,503,357,489,407,455,633,533,579,525,399,388,481,522,99999
108,Con Te Partiro,Andrea Bocelli,1996,109,99999,155,251,364,248,326,373,135,228,755,493,556,735,706,898,697,724,779,912,994,99999
109,Hello,Lionel Richie,1984,110,267,351,430,480,305,550,489,694,483,666,665,682,753,905,894,912,1044,1023,1191,1082,99999
110,In The Ghetto,Elvis Presley,1969,111,163,247,168,112,158,114,157,186,140,203,216,245,292,266,321,261,248,203,241,210,1977
111,Suspicious Minds,Elvis Presley,1969,112,140,281,130,86,107,84,97,81,89,108,77,120,135,153,151,121,106,85,104,111,1977
112,Another Day In Paradise,Phil Collins,1989,113,253,233,225,166,207,250,323,567,281,436,439,367,322,286,392,413,406,390,316,344,99999
113,"Welterusten, Mijnheer De President",Boudewijn De Groot,1966,114,126,71,91,70,68,85,80,96,78,160,194,219,457,362,460,421,400,474,485,99999,99999
114,My Way,Frank Sinatra,1969,115,449,377,331,422,412,423,308,363,353,459,444,404,387,368,407,373,359,340,371,308,1998
115,Papa,Stef Bos,1991,116,86,98,87,65,94,43,28,43,44,72,84,51,75,80,101,109,116,91,94,70,99999
116,Dromen Zijn Bedrog,Marco Borsato,1994,117,283,255,488,465,202,274,225,403,275,356,735,820,957,1065,1145,986,1357,1605,1290,1287,99999
117,How Deep Is Your Love,Bee Gees,1977,118,196,146,271,260,260,300,350,354,289,562,451,525,561,617,683,654,496,516,629,672,99999
118,Born In The Usa,Bruce Springsteen,1985,119,158,122,111,214,183,254,282,258,214,293,266,249,273,309,489,489,389,466,417,397,99999
119,In Nije Dei,De Kast,1997,120,108,126,197,405,441,413,368,275,325,411,249,416,663,511,615,734,769,907,911,835,99999
120,Piano Man,Billy Joel,1974,121,83,57,58,60,66,49,54,34,50,45,45,29,36,18,7,6,4,4,3,3,99999
121,Troy,Sinead O'Connor,1987,122,72,124,123,131,140,177,195,268,162,221,254,273,275,267,248,278,278,260,314,250,99999
122,God Only Knows,Beach Boys,1966,123,117,137,110,117,88,80,68,42,59,20,20,31,44,59,13,19,18,29,46,99999,99999
123,I Was Made For Loving You,KISS,1979,124,173,205,152,184,166,283,378,479,270,317,390,390,375,348,332,397,380,400,312,99999,99999
124,Heart Of Gold,Neil Young,1972,125,155,145,148,153,174,202,165,228,169,175,157,196,187,157,187,222,205,207,240,271,99999
125,Oerend Hard,Normaal,1977,126,149,169,106,95,117,82,107,119,101,226,214,302,256,275,271,186,336,343,330,88,99999
126,Samba Pa Ti,Santana,1970,127,150,153,176,188,177,182,184,257,182,161,154,221,276,295,216,273,196,236,423,436,99999
127,Teach Your Children,"Crosby, Stills, Nash & Young",1970,128,145,78,150,130,142,159,160,199,149,237,208,325,628,513,751,776,498,640,681,698,99999
128,The Final Countdown,Europe,1986,129,87,166,180,202,189,227,283,452,247,538,497,545,519,436,589,566,568,523,426,587,99999
129,Lola,Kinks,1970,130,85,156,205,181,188,265,227,361,222,242,245,276,424,346,375,569,688,637,99999,99999,99999
130,I Will Always Love You,Whitney Houston,1992,131,405,476,551,537,463,636,513,483,505,505,534,687,401,433,446,381,453,484,447,617,2012
131,Take On Me,A-Ha,1985,132,68,72,79,145,146,147,247,179,152,345,293,308,368,394,284,227,178,156,321,331,99999
132,Under Pressure,David Bowie & Queen,1981,133,265,332,185,308,273,345,493,524,376,229,352,324,265,192,193,201,87,101,38,99999,99999
133,Living Doll,Cliff Richard & The Young Ones,1986,134,371,374,450,1008,696,967,1081,1103,887,916,973,1049,1574,1160,1314,1433,1490,1661,1766,1821,99999
134,Owner Of A Lonely Heart,Yes,1983,135,94,86,101,165,221,233,318,374,235,270,348,361,364,406,379,389,412,458,662,747,99999
135,Fragile,Sting,1988,136,249,99,118,99,105,98,90,115,98,117,110,111,78,74,86,95,102,110,155,150,99999
136,Zelfs Je Naam Is Mooi,Henk Westbroek,1998,137,129,210,171,97,144,122,96,124,113,190,141,232,260,320,340,380,514,526,659,546,99999
137,Happy New Year,ABBA,1980,138,382,349,503,426,320,417,402,225,330,552,552,619,643,815,771,911,851,894,892,758,99999
138,Kiss From A Rose,Seal,1994,139,262,389,227,222,270,384,337,465,329,376,344,332,396,329,299,280,307,320,440,99999,99999
139,Barcelona,Freddie Mercury & Montserrat Caballé,1987,140,134,189,160,186,251,201,180,181,175,241,147,162,105,200,249,296,302,211,143,176,99999
140,Proud Mary,Ike & Tina Turner,1971,141,132,168,144,136,114,139,139,223,138,205,193,182,225,224,202,268,277,250,180,172,99999
141,How You Gonna See Me Now,Alice Cooper,1979,142,136,91,128,168,132,166,289,170,163,414,248,368,711,626,603,807,708,654,789,953,99999
142,Do They Know It's Christmas,Band Aid,1984,143,137,277,298,612,203,709,815,934,563,992,985,1203,1262,1225,673,908,1149,1192,1329,1138,99999
143,Hurricane,Bob Dylan,1975,144,56,56,66,83,60,66,70,55,61,58,58,70,95,73,115,127,100,133,160,208,99999
144,Du,Peter Maffay,1971,145,170,223,210,133,206,221,136,173,153,147,160,180,234,268,278,332,303,266,326,270,99999
145,White Rabbit,Jefferson Airplane,1970,146,104,175,155,125,155,178,199,265,172,235,287,272,284,223,239,291,301,281,318,99999,99999
146,Vienna,Ultravox,1981,147,106,136,138,152,220,272,290,387,242,220,264,349,378,359,310,366,315,322,397,419,99999
147,I Want You,Elvis Costello,1986,148,200,289,140,161,154,160,181,239,168,285,220,297,352,302,297,406,434,465,564,712,99999
148,Margherita,Marco Borsato,1996,149,156,152,147,142,98,131,105,160,128,129,187,175,226,289,354,228,374,471,420,459,99999
149,Forever Young,Alphaville,1984,150,100,70,69,68,102,97,131,95,96,187,149,195,266,253,281,284,280,235,298,305,99999
150,Kronenburg Park,Frank Boeijen,1985,151,93,133,139,119,145,132,130,162,134,159,170,230,247,230,274,289,308,237,225,99999,99999
151,The Logical Song,Supertramp,1979,152,154,198,158,252,288,342,366,422,317,453,474,421,452,319,403,363,395,354,356,286,99999
152,California Dreamin',The Mamas & The Papas,1966,153,135,296,164,123,128,185,168,270,159,155,146,167,183,250,237,247,255,262,302,248,99999
153,Englishman In New York,Sting,1988,154,280,272,234,219,252,322,249,332,256,331,262,260,230,194,317,242,242,240,196,207,99999
154,Twilight Zone,Golden Earring,1982,155,118,117,141,174,160,171,178,240,167,289,277,259,341,305,365,371,324,306,358,260,99999
155,In A Gadda Da Vida,Iron Butterfly,1970,156,148,333,291,148,268,307,331,372,272,387,398,500,461,558,541,638,787,772,1206,1100,99999
156,Conquest Of Paradise,Vangelis,1995,157,231,251,248,190,280,356,326,366,290,357,372,313,316,396,304,362,482,497,614,651,99999
157,Tell Him,Celine Dion & Barbra Streisand,1997,158,303,273,323,506,385,375,437,477,414,748,659,856,1436,1606,1463,1659,99999,1354,1481,99999,99999
158,Tubular Bells,Mike Oldfield,1974,159,178,211,257,316,302,291,291,536,332,335,336,299,346,366,416,513,680,575,747,819,99999
159,Don't Dream It's Over,Crowded House,1987,160,220,356,332,474,436,574,655,724,555,766,757,786,1053,793,1004,1046,726,681,783,764,99999
160,I Want To Know What Love Is,Foreigner,1984,161,221,151,200,283,173,301,285,461,271,372,374,423,591,624,471,524,394,300,403,384,99999
161,Aan De Kust,Bløf,1998,162,57,64,121,91,95,111,123,104,100,176,173,239,155,255,319,320,311,314,384,99999,99999
162,Fantasy,"Earth, Wind & Fire",1978,163,180,201,230,305,279,317,355,355,304,286,205,327,326,347,381,358,366,370,479,530,99999
163,Worn Down Piano,Mark & Clark Band,1977,164,78,66,59,72,81,64,73,83,72,95,80,127,107,125,112,136,216,275,289,99999,99999
164,The Boxer,Simon & Garfunkel,1969,165,212,178,174,221,197,200,193,307,205,180,166,141,120,123,144,162,134,140,154,156,99999
165,Jimmy,Boudewijn De Groot,1973,166,167,138,116,141,168,163,218,260,179,375,449,506,543,541,724,696,618,721,675,99999,99999
166,Roll Over Lay Down (Live),Status Quo,1975,167,160,89,136,172,226,150,220,328,196,295,330,372,492,442,438,599,561,581,686,631,99999
167,The Fool On The Hill,Beatles,1967,168,190,294,137,199,209,196,203,189,183,256,221,291,389,510,487,550,798,715,730,99999,99999
168,Like A Rollin' Stone,Bob Dylan,1965,169,88,195,215,200,110,133,138,100,125,149,174,174,253,233,261,279,345,385,598,99999,99999
169,Walk Of Life,Dire Straits,1985,170,213,147,173,164,178,207,210,244,192,329,315,341,309,306,355,353,320,328,265,232,99999
170,Don't Give Up,Peter Gabriel & Kate Bush,1986,171,162,183,172,213,193,155,194,238,184,255,219,279,237,238,190,254,309,302,295,341,99999
171,Graceland,Paul Simon,1987,172,205,170,187,225,238,193,223,286,217,218,180,200,161,185,207,216,175,213,279,99999,99999
172,Billie Jean,Michael Jackson,1983,173,422,310,313,315,222,239,260,370,266,27,64,96,83,132,128,126,123,113,82,130,2009
173,Eagle,ABBA,1978,174,114,90,94,89,129,100,135,89,104,162,165,194,208,282,243,348,375,299,385,325,99999
174,A Horse With No Name,America,1972,175,245,141,96,109,135,119,155,113,126,199,184,244,223,297,334,385,328,347,347,391,99999
175,The Last Resort,Eagles,1976,176,101,59,48,29,48,30,35,26,30,38,39,64,66,60,55,78,108,104,139,141,99999
176,Voor Haar,Frans Halsema,1977,177,141,123,127,110,100,50,56,36,53,69,57,98,109,88,110,115,151,132,179,184,99999
177,Wereld Zonder Jou,Marco Borsato & Trijntje Oosterhuis,1997,178,230,206,342,343,182,235,342,579,311,443,793,1099,1410,1023,1454,1517,99999,99999,1132,1026,99999
178,Killer Queen,Queen,1974,179,146,173,154,155,185,230,257,512,250,257,333,248,261,288,306,316,319,310,88,106,99999
179,You,Ten Sharp,1991,180,331,320,276,229,364,422,447,493,390,485,519,589,809,767,732,717,694,724,955,905,99999
180,Jump,Van Halen,1984,181,111,194,246,255,348,370,375,500,349,519,555,542,449,483,459,571,636,565,650,581,99999
181,The Lady In Red,Chris de Burgh,1986,182,268,290,208,177,169,156,148,134,144,297,305,395,575,532,601,714,753,849,976,860,99999
182,What A Wonderful World,Louis Armstrong,1968,183,473,658,574,433,345,371,281,399,350,476,464,464,423,343,410,369,525,527,531,600,99999
183,Maid Of Orleans,Orchestral Manoeuvres In The Dark,1982,184,165,243,245,348,451,428,487,704,453,405,573,551,481,432,384,405,460,488,582,558,99999
184,Me And Bobby McGee,Janis Joplin,1971,185,181,191,181,196,179,172,162,200,165,182,152,215,267,285,265,266,269,272,246,261,1970
185,Unchained Melody,Righteous Brothers,1965,186,377,239,247,163,354,378,328,435,319,406,505,540,655,613,612,770,827,871,944,99999,99999
186,"Take Me Home, Country Roads",John Denver,1971,187,357,115,418,449,489,360,457,441,408,599,501,547,622,591,641,572,541,500,192,237,1997
187,She's Not There,Santana,1978,188,251,235,219,385,370,315,237,473,321,202,206,334,335,312,270,315,459,324,488,495,99999
188,Liefs Uit Londen,Bløf,1998,189,81,55,57,62,55,63,83,75,65,131,129,151,200,228,283,223,298,351,382,401,99999
189,1999,Prince,1982,190,562,789,1008,791,1008,1504,1367,1540,1207,1527,1025,1136,823,1042,1215,1257,404,651,710,681,99999
190,Oude Maasweg,Amazing Stroopwafels,1982,191,112,46,44,49,69,26,38,16,29,66,49,81,103,108,125,149,146,153,217,99999,99999
191,Denis,Blondie,1978,192,122,193,213,268,164,223,343,406,258,363,301,431,541,700,778,857,707,661,810,898,99999
192,Desperado,Eagles,1973,193,209,163,86,106,137,115,108,93,106,75,96,100,127,119,114,137,103,106,159,165,99999
193,Need Your Love So Bad,Fleetwood Mac,1968,194,393,244,207,266,230,213,255,400,257,309,283,402,607,427,451,544,657,628,770,808,99999
194,Perfect Day,Lou Reed,1972,195,99999,271,231,129,80,109,103,121,115,125,111,119,160,34,92,110,121,118,134,157,99999
195,Private Dancer,Tina Turner,1984,196,355,475,371,322,340,319,394,533,384,473,479,516,881,701,739,840,811,932,615,637,99999
196,Geen Kind Meer,Karin Bloemen,1996,197,413,268,254,263,295,197,161,152,177,209,201,316,392,395,388,476,767,856,1258,1352,99999
197,You Can't Always Get What You Want,Rolling Stones,1969,198,293,266,46,169,199,203,207,288,186,231,229,238,325,196,179,234,240,215,268,99999,99999
198,Russians,Sting,1985,199,302,334,309,337,356,519,621,733,504,625,607,576,600,517,652,613,730,822,904,906,99999
199,Smoke On The Water,Deep Purple,1973,200,110,109,77,67,72,90,89,116,87,64,82,89,104,118,105,148,130,131,119,153,99999
200,Gimme All Your Lovin',ZZ Top,1984,201,174,118,170,124,196,192,239,242,187,321,341,355,624,519,417,549,511,553,898,958,99999
201,Sloop John B,Beach Boys,1966,202,227,174,240,240,262,281,301,180,227,299,318,445,716,770,721,831,1236,1326,1350,99999,99999
202,Morning Has Broken,Cat Stevens,1972,203,168,131,78,88,76,104,118,97,94,124,115,165,291,313,276,310,291,295,640,674,99999
203,Als Ze Er Niet Is,De Dijk,1994,204,193,218,149,92,134,125,99,126,119,152,139,150,193,206,217,241,267,297,353,228,99999
204,Albatross,Fleetwood Mac,1969,205,199,127,191,223,211,242,212,321,223,240,265,384,361,382,424,486,581,551,705,639,99999
205,Mull Of Kintyre,Paul McCartney & Wings,1977,206,238,107,321,393,353,414,401,572,399,371,401,558,987,931,987,895,1224,1295,1289,1157,99999
206,Moonlight Shadow,Mike Oldfield ft. Maggie Reilly,1983,207,276,139,318,373,428,444,442,660,431,604,539,652,680,657,819,846,1068,1122,1024,99999,99999
